course_name,overview,timeline,projects,resources
Python Fundamentals,"Learn Python from scratch, covering variables, control flow, functions, and OOP.","Week 1: Variables and Data Types; Week 2: Control Flow; Week 3: Functions; Week 4: Lists and Dictionaries; Week 5: File Handling; Week 6: OOP; Week 7: Modules and Packages; Week 8: Error Handling; Week 9: Working with APIs; Week 10: Final Project","Build a calculator; Create a text-based game","https://www.learnpython.org/;https://realpython.com/"
Data Science,"Master data analysis, visualization, and basic machine learning with Python.","Week 1: Python Refresher; Week 2: Pandas Basics; Week 3: Data Cleaning; Week 4: Data Visualization; Week 5: Statistics; Week 6: Exploratory Data Analysis; Week 7: Intro to ML; Week 8: Regression; Week 9: Classification; Week 10: Capstone Project","Analyze a real dataset; Create a data dashboard","https://www.kaggle.com/learn/data-cleaning;https://pandas.pydata.org/docs/"
Machine Learning,"Understand ML algorithms and build models using Python.","Week 1: Math for ML; Week 2: Linear Regression; Week 3: Logistic Regression; Week 4: Decision Trees; Week 5: SVM; Week 6: Clustering; Week 7: Feature Engineering; Week 8: Model Evaluation; Week 9: Neural Networks; Week 10: ML Project","Predict housing prices; Image classifier","https://www.coursera.org/learn/machine-learning;https://scikit-learn.org/"
Deep Learning,"Build and train neural networks for real-world tasks.","Week 1: Neural Net Basics; Week 2: Forward/Backward Propagation; Week 3: Keras/TensorFlow; Week 4: CNNs; Week 5: RNNs; Week 6: LSTMs; Week 7: GANs; Week 8: Transfer Learning; Week 9: Deployment; Week 10: Final Project","Image classifier; Text generator","https://www.deeplearning.ai/;https://www.tensorflow.org/tutorials"
Web Development,"Learn to create interactive websites from scratch.","Week 1: HTML Basics; Week 2: CSS Styling; Week 3: Responsive Design; Week 4: JavaScript Basics; Week 5: DOM Manipulation; Week 6: APIs and AJAX; Week 7: Frontend Frameworks; Week 8: Backend Basics; Week 9: Databases; Week 10: Deploy a Website","Build a portfolio site; Create a blog","https://developer.mozilla.org/;https://freecodecamp.org/"
Java Programming,"Master Java syntax, OOP, and build robust applications.","Week 1: Java Basics; Week 2: Control Flow; Week 3: OOP in Java; Week 4: Collections; Week 5: Exception Handling; Week 6: File I/O; Week 7: GUI Programming; Week 8: Threads; Week 9: Networking; Week 10: Java Project","Banking application; Chat program","https://www.codecademy.com/learn/learn-java;https://www.oracle.com/java/technologies/javase-downloads.html"
C Programming,"Learn C programming for systems and embedded development.","Week 1: C Syntax; Week 2: Data Types; Week 3: Control Structures; Week 4: Functions; Week 5: Pointers; Week 6: Arrays and Strings; Week 7: Structs; Week 8: File I/O; Week 9: Memory Management; Week 10: C Project","Student record system; File encryptor","https://www.learn-c.org/;https://www.tutorialspoint.com/cprogramming/"
C++ Programming,"Master C++ for object-oriented and high-performance applications.","Week 1: C++ Basics; Week 2: OOP in C++; Week 3: STL; Week 4: Templates; Week 5: Exception Handling; Week 6: File I/O; Week 7: Smart Pointers; Week 8: Multithreading; Week 9: Advanced Topics; Week 10: C++ Project","Inventory management system; Game engine basics","https://www.learncpp.com/;https://cplusplus.com/"
JavaScript Essentials,"Learn JavaScript for interactive web development.","Week 1: JS Syntax; Week 2: Functions and Objects; Week 3: DOM Manipulation; Week 4: Events; Week 5: AJAX; Week 6: ES6 Features; Week 7: Async Programming; Week 8: APIs; Week 9: Frameworks Intro; Week 10: JS Project","To-do app; Weather dashboard","https://javascript.info/;https://developer.mozilla.org/en-US/docs/Web/JavaScript"
React Development,"Build modern web apps with React.js.","Week 1: React Basics; Week 2: Components; Week 3: Props and State; Week 4: Event Handling; Week 5: Forms; Week 6: Routing; Week 7: Hooks; Week 8: Context API; Week 9: Redux; Week 10: React Project","Recipe app; Chat app","https://reactjs.org/tutorial/tutorial.html;https://www.freecodecamp.org/news/learn-react-by-building-a-simple-app/"
